,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,accuracy,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support,experiment,feats
0,0.8993288590604027,0.7354555433589463,0.8091787439613527,911,0.4794816414686825,0.7474747474747475,0.5842105263157895,297,0.7384105960264901,0.6894052502645426,0.7414651454168468,0.6966946351385711,1208,0.7961048328809814,0.7384105960264901,0.7538678493912102,1208,experiment_1__model:LogisticRegression__context:False__label_config:binary,experiment_1__model:LogisticRegression__context:False__label_config:binary
1,0.8630872483221477,0.7424942263279446,0.798261949099938,866,0.5183585313174947,0.7017543859649122,0.5962732919254659,342,0.7309602649006622,0.6907228898198212,0.7221243061464284,0.697267620512702,1208,0.7654902108920224,0.7309602649006622,0.741076418674715,1208,experiment_1__model:MultinomialNB__context:False__label_config:binary,experiment_1__model:MultinomialNB__context:False__label_config:binary
2,0.8671140939597315,0.7399770904925544,0.7985166872682323,873,0.509719222462203,0.7044776119402985,0.5914786967418546,335,0.7301324503311258,0.6884166582109672,0.7222273512164264,0.6949976920050435,1208,0.7680021055891421,0.7301324503311258,0.7411013504914636,1208,experiment_1__model:SVM__context:False__label_config:binary,experiment_1__model:SVM__context:False__label_config:binary
3,0.789261744966443,0.7606727037516171,0.774703557312253,773,0.6004319654427646,0.639080459770115,0.6191536748329621,435,0.7168874172185431,0.6948468552046038,0.6998765817608661,0.6969286160726076,1208,0.7212642664128005,0.7168874172185431,0.7186901476446276,1208,experiment_1__model:SGDClassifier__context:False__label_config:binary,experiment_1__model:SGDClassifier__context:False__label_config:binary
4,0.8268456375838926,0.7958656330749354,0.8110599078341013,774,0.6587473002159827,0.7027649769585254,0.6800445930880713,434,0.7624172185430463,0.7427964688999377,0.7493153050167304,0.7455522504610863,1208,0.7664526918738984,0.7624172185430463,0.7639898361455442,1208,experiment_1__model:RandomForest__context:False__label_config:binary,experiment_1__model:RandomForest__context:False__label_config:binary
5,0.8966442953020134,0.7308533916849015,0.805304400241109,914,0.468682505399568,0.7380952380952381,0.5733157199471599,294,0.7326158940397351,0.6826634003507908,0.7344743148900699,0.6893100600941344,1208,0.7924880318654911,0.7326158940397351,0.7488435790437407,1208,experiment_1__model:XGB__context:False__label_config:binary,experiment_1__model:XGB__context:False__label_config:binary
6,0.9731543624161074,0.6614963503649635,0.7876154263986964,1096,0.19870410367170627,0.8214285714285714,0.32,112,0.6763245033112583,0.5859292330439069,0.7414624608967675,0.5538077131993482,1208,0.9013510271682822,0.6763245033112583,0.7442603537524597,1208,experiment_1__model:LogisticRegression__context:True__label_config:binary,experiment_1__model:LogisticRegression__context:True__label_config:binary
7,0.9476510067114094,0.6585820895522388,0.7771051183269125,1072,0.20950323974082075,0.7132352941176471,0.32387312186978295,136,0.6647350993377483,0.5785771232261151,0.685908691834943,0.5504891200983477,1208,0.8645482779796214,0.6647350993377483,0.7260789995204808,1208,experiment_1__model:MultinomialNB__context:True__label_config:binary,experiment_1__model:MultinomialNB__context:True__label_config:binary
8,0.9825503355704698,0.6495119787045253,0.782051282051282,1127,0.1468682505399568,0.8395061728395061,0.25,81,0.6622516556291391,0.5647092930552133,0.7445090757720156,0.516025641025641,1208,0.9265153613258742,0.6622516556291391,0.7463756580064528,1208,experiment_1__model:SVM__context:True__label_config:binary,experiment_1__model:SVM__context:True__label_config:binary
9,0.8013422818791947,0.7334152334152334,0.7658755612572163,814,0.531317494600432,0.6243654822335025,0.574095682613769,394,0.6978476821192053,0.6663298882398133,0.6788903578243679,0.6699856219354927,1208,0.7132712833793333,0.6978476821192053,0.7033248392493369,1208,experiment_1__model:SGDClassifier__context:True__label_config:binary,experiment_1__model:SGDClassifier__context:True__label_config:binary
10,0.8926174496644296,0.758266818700114,0.8199753390875463,877,0.5421166306695464,0.7583081570996979,0.6322418136020151,331,0.7582781456953642,0.717367040166988,0.758287487899906,0.7261085763447808,1208,0.7965779040623548,0.7582781456953642,0.76853510983613,1208,experiment_1__model:RandomForest__context:True__label_config:binary,experiment_1__model:RandomForest__context:True__label_config:binary
11,0.9006711409395973,0.7261904761904762,0.80407429598562,924,0.4535637149028078,0.7394366197183099,0.5622489959839357,284,0.7293046357615894,0.6771174279212026,0.732813547954393,0.6831616459847778,1208,0.7955564811759813,0.7293046357615894,0.7472213281044293,1208,experiment_1__model:XGB__context:True__label_config:binary,experiment_1__model:XGB__context:True__label_config:binary
12,0.8993288590604027,0.7354555433589463,0.8091787439613527,911,0.4794816414686825,0.7474747474747475,0.5842105263157895,297,0.7384105960264901,0.6894052502645426,0.7414651454168468,0.6966946351385711,1208,0.7961048328809814,0.7384105960264901,0.7538678493912102,1208,experiment_2__model:LogisticRegression__context:False__label_config:binary,experiment_2__model:LogisticRegression__context:False__label_config:binary
13,0.8644295302013423,0.7427912341407151,0.7990074441687345,867,0.5183585313174947,0.7038123167155426,0.5970149253731343,341,0.7317880794701986,0.6913940307594184,0.7233017754281288,0.6980111847709344,1208,0.7667389584965476,0.7317880794701986,0.7419880328199765,1208,experiment_2__model:MultinomialNB__context:False__label_config:binary,experiment_2__model:MultinomialNB__context:False__label_config:binary
14,0.8671140939597315,0.7391304347826086,0.798023471278567,874,0.5075593952483801,0.7035928143712575,0.589711417816813,334,0.7293046357615894,0.6873367446040558,0.7213616245769331,0.69386744454769,1208,0.7677007915014605,0.7293046357615894,0.7404272578214265,1208,experiment_2__model:SVM__context:False__label_config:binary,experiment_2__model:SVM__context:False__label_config:binary
