,precision,recall,f1-score,support
0,0.8926174496644296,0.7446808510638298,0.811965811965812,893.0
1,0.3815789473684211,0.5723684210526315,0.45789473684210524,152.0
2,0.4085106382978723,0.588957055214724,0.4824120603015075,163.0
accuracy,0.7019867549668874,0.7019867549668874,0.7019867549668874,0.7019867549668874
macro avg,0.560902345110241,0.6353354424437284,0.5840908697031416,1208.0
weighted avg,0.7629922322788815,0.7019867549668874,0.7229458906577946,1208.0
