,precision,recall,f1-score,support
0,0.8456375838926175,0.7701711491442543,0.8061420345489444,818.0
1,0.4868421052631579,0.5467980295566502,0.5150812064965198,203.0
2,0.4085106382978723,0.5133689839572193,0.4549763033175356,187.0
accuracy,0.6928807947019867,0.6928807947019867,0.6928807947019867,0.6928807947019867
macro avg,0.5803301091512159,0.6101127208860413,0.5920665147876666,1208.0
weighted avg,0.717675480425732,0.6928807947019867,0.7028694022352725,1208.0
