,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,2.precision,2.recall,2.f1-score,2.support,accuracy,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support,experiment,feats
0,0.934228187919463,0.709480122324159,0.8064889918887601,981,0.2894736842105263,0.6,0.3905325443786983,110,0.3021276595744681,0.6068376068376068,0.4034090909090909,117,0.6895695364238411,0.5086098439014858,0.6387725763872553,0.5334768757255164,1208,0.8142954418728179,0.6895695364238411,0.7295721395371639,1208,experiment_1__model:LogisticRegression__context:False__label_config:ternary,experiment_1__model:LogisticRegression__context:False__label_config:ternary
1,0.9771812080536912,0.674074074074074,0.7978082191780822,1080,0.19736842105263158,0.6164383561643836,0.29900332225913623,73,0.16170212765957448,0.6909090909090909,0.2620689655172414,55,0.6713576158940397,0.4454172522552991,0.6604738403825162,0.45296016898481994,1208,0.892928159317968,0.6713576158940397,0.7432731062422964,1208,experiment_1__model:MultinomialNB__context:False__label_config:ternary,experiment_1__model:MultinomialNB__context:False__label_config:ternary
2,0.9288590604026845,0.6940822467402207,0.7944890929965556,997,0.24561403508771928,0.5714285714285714,0.34355828220858897,98,0.2680851063829787,0.5575221238938053,0.3620689655172413,113,0.6713576158940397,0.4808527339577942,0.6076776473541992,0.5000387802407953,1208,0.8116194335110509,0.6713576158940397,0.7174570616535231,1208,experiment_1__model:SVM__context:False__label_config:ternary,experiment_1__model:SVM__context:False__label_config:ternary
3,0.8281879194630872,0.7496962332928311,0.7869897959183674,823,0.44298245614035087,0.5260416666666666,0.4809523809523809,192,0.37446808510638296,0.45595854922279794,0.4112149532710281,193,0.6672185430463576,0.5485461535699403,0.5772321497274319,0.5597190433805922,1208,0.6944732034127483,0.6672185430463576,0.6783112128849189,1208,experiment_1__model:SGDClassifier__context:False__label_config:ternary,experiment_1__model:SGDClassifier__context:False__label_config:ternary
4,0.8885906040268456,0.7371937639198218,0.8058429701765064,898,0.34649122807017546,0.5563380281690141,0.42702702702702705,142,0.40425531914893614,0.5654761904761905,0.4714640198511166,168,0.6920529801324503,0.5464457170819857,0.6196693275216755,0.5681113390182168,1208,0.7575091145853424,0.6920529801324503,0.7148102486683181,1208,experiment_1__model:RandomForest__context:False__label_config:ternary,experiment_1__model:RandomForest__context:False__label_config:ternary
5,0.9557046979865772,0.6761633428300095,0.7919911012235817,1053,0.21929824561403508,0.6172839506172839,0.3236245954692556,81,0.1829787234042553,0.581081081081081,0.27831715210355984,74,0.6663907284768212,0.45266055566828917,0.6248427915094581,0.4646442829321324,1208,0.8589905880848656,0.6663907284768212,0.7291189495671396,1208,experiment_1__model:XGB__context:False__label_config:ternary,experiment_1__model:XGB__context:False__label_config:ternary
6,0.9946308724832215,0.6355060034305318,0.7755102040816326,1166,0.09210526315789473,0.8076923076923077,0.1653543307086614,26,0.059574468085106386,0.875,0.11155378486055778,16,0.6423841059602649,0.3821035345754076,0.7727327703742798,0.35080610655028394,1208,0.9628207993765754,0.6423841059602649,0.7535835853604121,1208,experiment_1__model:LogisticRegression__context:True__label_config:ternary,experiment_1__model:LogisticRegression__context:True__label_config:ternary
7,1.0,0.6167218543046358,0.7629288274449565,1208,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6167218543046358,0.3333333333333333,0.20557395143487858,0.25430960914831885,1208,1.0,0.6167218543046358,0.7629288274449565,1208,experiment_1__model:MultinomialNB__context:True__label_config:ternary,experiment_1__model:MultinomialNB__context:True__label_config:ternary
8,1.0,0.6187707641196013,0.7644946126218573,1204,0.0043859649122807015,0.5,0.008695652173913044,2,0.00851063829787234,1.0,0.016877637130801686,2,0.6192052980132451,0.337632201070051,0.7062569213732005,0.2633559673088573,1208,0.996710093713924,0.6192052980132451,0.7620055133901702,1208,experiment_1__model:SVM__context:True__label_config:ternary,experiment_1__model:SVM__context:True__label_config:ternary
9,0.8389261744966443,0.7151029748283753,0.772081531809759,874,0.39473684210526316,0.5454545454545454,0.4580152671755725,165,0.2978723404255319,0.41420118343195267,0.3465346534653465,169,0.6498344370860927,0.5105117856758131,0.5582529012382911,0.5255438174835594,1208,0.7025608286335682,0.6498344370860927,0.6696491178156808,1208,experiment_1__model:SGDClassifier__context:True__label_config:ternary,experiment_1__model:SGDClassifier__context:True__label_config:ternary
10,0.9718120805369127,0.6728624535315985,0.7951674903898956,1076,0.20614035087719298,0.6527777777777778,0.3133333333333333,72,0.16170212765957448,0.6333333333333333,0.2576271186440678,60,0.6697019867549668,0.4465515196912267,0.6529911882142365,0.4553759807890989,1208,0.8859387678646112,0.6697019867549668,0.7397498731607381,1208,experiment_1__model:RandomForest__context:True__label_config:ternary,experiment_1__model:RandomForest__context:True__label_config:ternary
11,0.9583892617449664,0.6787072243346007,0.7946577629382303,1052,0.20175438596491227,0.6133333333333333,0.30363036303630364,75,0.20851063829787234,0.6049382716049383,0.310126582278481,81,0.6697019867549668,0.456218095335917,0.6323262764242908,0.46947156941767165,1208,0.861131162255961,0.6697019867549668,0.7316825306318692,1208,experiment_1__model:XGB__context:True__label_config:ternary,experiment_1__model:XGB__context:True__label_config:ternary
