,precision,recall,f1-score,support
0,0.8268456375838926,0.7958656330749354,0.8110599078341013,774.0
1,0.6587473002159827,0.7027649769585254,0.6800445930880713,434.0
accuracy,0.7624172185430463,0.7624172185430463,0.7624172185430463,0.7624172185430463
macro avg,0.7427964688999377,0.7493153050167304,0.7455522504610863,1208.0
weighted avg,0.7664526918738984,0.7624172185430463,0.7639898361455442,1208.0
