,0.precision,0.recall,0.f1-score,0.support,1.precision,1.recall,1.f1-score,1.support,2.precision,2.recall,2.f1-score,2.support,accuracy,macro avg.precision,macro avg.recall,macro avg.f1-score,macro avg.support,weighted avg.precision,weighted avg.recall,weighted avg.f1-score,weighted avg.support,experiment,feats
0,0.9288590604026845,0.6940822467402207,0.7944890929965556,997,0.24561403508771928,0.5714285714285714,0.34355828220858897,98,0.2680851063829787,0.5575221238938053,0.3620689655172413,113,0.6713576158940397,0.4808527339577942,0.6076776473541992,0.5000387802407953,1208,0.8116194335110509,0.6713576158940397,0.7174570616535231,1208,experiment_1,['tfidf']
1,0.9288590604026845,0.6947791164658634,0.7949454336588168,996,0.24561403508771928,0.5714285714285714,0.34355828220858897,98,0.2680851063829787,0.5526315789473685,0.36103151862464183,114,0.6713576158940397,0.4808527339577942,0.6062797556139344,0.49984507816401585,1208,0.8110724352047433,0.6713576158940397,0.7173774476025102,1208,experiment_2,"['tfidf', 'body_stats']"
2,0.9355704697986578,0.7054655870445344,0.8043854587420659,988,0.2675438596491228,0.5700934579439252,0.36417910447761187,107,0.2936170212765957,0.6106194690265486,0.396551724137931,113,0.6846026490066225,0.49891045024145875,0.628726171338336,0.5217054291192029,1208,0.816348957407107,0.6846026490066225,0.7272436607978905,1208,experiment_3,"['tfidf', 'body_stats', 'syntactic']"
3,0.9369127516778524,0.7079107505070994,0.806470248411323,986,0.2719298245614035,0.6019417475728155,0.37462235649546827,103,0.31063829787234043,0.6134453781512605,0.4124293785310735,119,0.6895695364238411,0.5064936247038654,0.6410992920770585,0.5311739944792883,1208,0.8185187934859234,0.6895695364238411,0.7308318408094333,1208,experiment_4,"['tfidf', 'body_stats', 'syntactic', 'indicators']"
4,0.9275167785234899,0.6834817012858556,0.7870159453302962,1011,0.33771929824561403,0.5238095238095238,0.4106666666666667,147,0.09787234042553192,0.46,0.16140350877192983,50,0.6548013245033113,0.45436947239821196,0.5557637416984598,0.4530287069229642,1208,0.8214054776081375,0.6548013245033113,0.7153239206684818,1208,experiment_5,['medical']
5,0.9288590604026845,0.7039674465920651,0.8009259259259259,983,0.2807017543859649,0.5818181818181818,0.378698224852071,110,0.2851063829787234,0.5826086956521739,0.38285714285714284,115,0.6812913907284768,0.498222399255791,0.6227981080208069,0.5208270978783799,1208,0.8085537114245432,0.6812913907284768,0.7226784448240765,1208,experiment_6,"['tfidf', 'medical']"
6,0.9355704697986578,0.712678936605317,0.8090539756239118,978,0.29385964912280704,0.5982142857142857,0.3941176470588236,112,0.31063829787234043,0.6186440677966102,0.41359773371104813,118,0.6928807947019867,0.5133561389312685,0.6431790967054044,0.5389231187979279,1208,0.8150294034054453,0.6928807947019867,0.7319540539806935,1208,experiment_7,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical']"
7,1.0,0.6172328086164043,0.7633196721311475,1207,0.0,0.0,0.0,0,0.00425531914893617,1.0,0.008474576271186442,1,0.6175496688741722,0.3347517730496454,0.5390776028721348,0.25726474946744465,1208,0.9991757080456531,0.6175496688741722,0.7626948003630515,1208,experiment_8,['embeddings']
8,0.938255033557047,0.6941410129096326,0.797945205479452,1007,0.23684210526315788,0.5806451612903226,0.3364485981308411,93,0.2680851063829787,0.5833333333333334,0.3673469387755102,108,0.6754966887417219,0.4810607484010612,0.6193731691777629,0.5005802474619344,1208,0.8243396738996538,0.6754966887417219,0.723918883221632,1208,experiment_9,"['tfidf', 'embeddings']"
9,0.938255033557047,0.711088504577823,0.8090277777777778,983,0.2719298245614035,0.5849056603773585,0.3712574850299401,106,0.31063829787234043,0.6134453781512605,0.4124293785310735,119,0.6903973509933775,0.5069410519969303,0.6364798477021473,0.5309048804462638,1208,0.8179596165868331,0.6903973509933775,0.7315452773294098,1208,experiment_10,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical', 'embeddings']"
10,1.0,0.6167218543046358,0.7629288274449565,1208,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.6167218543046358,0.3333333333333333,0.20557395143487858,0.25430960914831885,1208,1.0,0.6167218543046358,0.7629288274449565,1208,experiment_11,['sentiment']
11,0.934228187919463,0.7138461538461538,0.8093023255813953,975,0.3026315789473684,0.6,0.4023323615160349,115,0.31063829787234043,0.6186440677966102,0.41359773371104813,118,0.6937086092715232,0.5158326882463906,0.6441634072142547,0.5417441402694928,1208,0.813187445322318,0.6937086092715232,0.731906060922275,1208,experiment_12,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical', 'sentiment']"
12,0.9355704697986578,0.7090539165818922,0.8067129629629629,983,0.2894736842105263,0.5892857142857143,0.38823529411764707,112,0.3021276595744681,0.6283185840707964,0.40804597701149425,113,0.6903973509933775,0.5090572711945507,0.6422194049794676,0.5343314113640347,1208,0.8164132864036212,0.6903973509933775,0.730621184549725,1208,experiment_13,"['tfidf', 'body_stats', 'syntactic', 'indicators', 'medical', 'embeddings', 'sentiment']"
