,precision,recall,f1-score,support
0,0.8939597315436242,0.7966507177033493,0.8425047438330171,836.0
1,0.6328293736501079,0.7876344086021505,0.7017964071856287,372.0
accuracy,0.7938741721854304,0.7938741721854304,0.7938741721854304,0.7938741721854304
macro avg,0.7633945525968661,0.7921425631527499,0.772150575509323,1208.0
weighted avg,0.8135454160333692,0.7938741721854304,0.799174030891934,1208.0
