,precision,recall,f1-score,support
0,0.9328859060402684,0.7164948453608248,0.8104956268221575,970.0
1,0.35964912280701755,0.6307692307692307,0.4581005586592179,130.0
2,0.2978723404255319,0.6481481481481481,0.40816326530612246,108.0
accuracy,0.7011589403973509,0.7011589403973509,0.7011589403973509,0.7011589403973509
macro avg,0.5301357897576059,0.6651374080927346,0.5589198169291659,1208.0
weighted avg,0.8144237811174918,0.7011589403973509,0.7366022047154406,1208.0
